id,page,route,section,caption_in_code,purpose,dimensions,reuse_notes,subject,style_notes,prompt
SOL-03,Solutions,/solutions,"Active solution panel — Government & VA tab","pallet of MSPV-tagged goods","Right pane for the Government solution. Conveys: real Berry-compliant pallets ready to ship under the MSPV BPA. Industrial, accountable, no theatre.","Tall portrait crop, ~1080×1500, displays at 520h / 240h.","Reused by BLOG-03 (cover for ""The MSPV BPA, in plain English"" post) — same asset.","A wrapped white-stretch-film pallet of plain kraft cases on a warehouse floor, with a single MSPV-style government routing tag clipped to the corner.","Documentary, slightly cool ink-and-cream palette with one warm light source.","Editorial documentary photograph, medium-format film, of a single freshly built government-shipment pallet on the polished concrete floor of a working US distribution warehouse. The pallet is a standard 48x40 wood pallet stacked four-high with plain kraft and beige cardboard cases (no visible brand logos), wrapped tight in clear stretch film. A single white-and-black government routing tag — generic, no specific agency markings — is clipped on the front-left corner at chest height. Soft warm tungsten dock light from camera-right gives the wrap a slight amber sheen; the rest of the warehouse falls into deep ink shadow. Vertical 3:4 portrait, pallet center-frame. Color palette: kraft brown, cream, deep ink, single amber accent. Slight film grain, no HDR, no glossy retouch, no fluorescent cyan, no visible text other than the small generic routing tag."
SOL-04,Solutions,/solutions,"Active solution panel — First Responders & EMS tab","IFAK on tailboard","Right pane for the EMS solution. Single CoTCCC-style Individual First Aid Kit laid out on the back of a fire/EMS rig — quiet, professional, ready.","Tall portrait crop, ~1080×1500, displays at 520h / 240h.","Solutions page only.","Open black IFAK pouch on the painted-steel tailboard of a fire-engine pumper, contents arranged neatly: tourniquet, hemostatic gauze, chest seal, shears.","Documentary, ink-and-amber palette, single hard-light source like a bay-door lamp.","Editorial documentary photograph, 35mm color film, of a single black nylon Individual First Aid Kit (IFAK) opened and laid flat on the painted ink-red painted-steel tailboard step at the rear of a parked fire-engine pumper inside a fire-station bay. Contents are arranged neatly side by side: a black-handled CAT-style tourniquet, a sealed pouch of hemostatic gauze, an occlusive chest-seal foil pouch, trauma shears, a pair of black nitrile gloves. No brand logos visible. A single warm tungsten bay-light from camera-right rakes across the contents giving them a warm amber rim, the rest of the bay falls into deep ink shadow. Composition vertical 3:4, kit center-frame. Color palette: ink black, deep red truck paint, warm amber, cream gauze. Slight film grain, no HDR, no glossy retouch, no fluorescent ceiling glare."
SOL-05,Solutions,/solutions,"Active solution panel — Regional Distributors tab","container yard at dawn","Right pane for the Distributor solution. Conveys: FDA-registered import partner, transparent landed cost. Dawn light, container yard, real working port logistics.","Tall portrait crop, ~1080×1500, displays at 520h / 240h.","Reused by BLOG-04 (cover for ""Tariff volatility, Q2 2026"" post) — same asset.","Stacked maritime shipping containers in a US port container yard at predawn / first-light, soft mist on the asphalt, no people.","Documentary, cool blue-grey predawn palette with one warm sodium-light accent.","Editorial documentary photograph, medium-format film, of a US port container yard at predawn first light. Camera at human height, looking down a long alley between two stacks of weathered shipping containers two-and-three-high. Container colors are muted — faded oxide red, deep navy, rust grey — no visible logos, no visible carrier branding, no visible characters or numbers other than vague soft-focused identifiers in the far distance. Soft cool blue-grey ambient light from the rising sun mixes with one warm sodium-vapor yard lamp at the far end of the alley. Faint mist on the asphalt. No people. No vehicles. Vertical 3:4 portrait composition. Palette: muted oxide red, navy, cool blue-grey, single warm sodium accent. Slight film grain, no HDR, no neon-bright retouch."
BLOG-01,Blog index + Blog post,"/blog and /blog/mckesson-medsurg-spinoff",Cover image,"warehouse, dawn shift","Featured cover for ""McKesson is spinning off Med-Surg. What it means for ASCs."" Procurement-category post. Should imply early-morning work — first shift, first lights on.","16:9 wide cover, ~1600×900. Displayed at 380h on the index featured slot, 420h on the article hero.",Blog only.,"Wide interior of a medical-supply warehouse just as the first shift arrives — overhead lights starting to come on, first pallet jack moving down a far aisle, predawn blue still in the high windows.","Documentary editorial, warm-amber dock lights against cool-blue predawn windows.","Editorial documentary photograph, 35mm color film (Portra 400 feel), of a working medical-supply distribution warehouse interior at the start of the early shift. Wide composition looking down the main center aisle between rows of industrial pallet racking stacked with plain kraft cases (no brand logos). Half the overhead high-bay LEDs have just come on, throwing pools of warm amber light onto the polished concrete floor; the other half are still off so the room recedes into a soft cool-blue ambient. High clerestory windows at the far end show a flat predawn navy sky. In the deep mid-ground, a single anonymous worker in a dark hi-vis vest moves a manual pallet jack — silhouetted, no face. Composition 16:9. Palette: cool predawn blue, warm amber pools, kraft brown. Slight film grain, no HDR, no fluorescent cyan, no visible logos or text."
BLOG-02,Blog index + Blog post,"/blog and /blog/asc-procedure-bundles-101",Cover image,"OR turnover, late afternoon","Cover for ""Procedure bundles 101: how to build a case cart that actually saves time."" ASC category.","16:9 wide cover, ~1600×900.","Reuse SOL-01 directly — same OR-turnover frame works perfectly here. Mark in the asset library so the same file ships to both pages.","Same subject as SOL-01.","Reuses SOL-01 asset. If you want a second frame from the same shoot, choose a slightly wider angle that includes the case-cart trolley parked next to the OR table.","Reuses SOL-01 (see SOL-01 prompt). Optional second frame: same OR-turnover scene, but pull the camera back so a stainless case-cart trolley with a stack of folded blue drapes is visible camera-left. Same lighting, same palette."
BLOG-03,Blog index + Blog post,"/blog and /blog/va-mspv-bpa-explained",Cover image,"pallet of MSPV-tagged goods","Cover for ""The MSPV BPA, in plain English."" Government category.","16:9 wide cover, ~1600×900.","Reuse SOL-03 directly — same MSPV-pallet frame.","Same subject as SOL-03.","Reuses SOL-03 asset. If a second frame is needed, choose one with the routing tag in tighter focus.","Reuses SOL-03 (see SOL-03 prompt). Optional second frame: same pallet, but tighter — composition centered on the routing tag at the corner of the wrapped pallet, slight depth-of-field on the kraft cases behind. Same lighting and palette."
BLOG-04,Blog index + Blog post,"/blog and /blog/tariff-volatility-q2-2026",Cover image,"container yard at dawn","Cover for ""Tariff volatility, Q2 2026."" Procurement category.","16:9 wide cover, ~1600×900.","Reuse SOL-05 directly — container-yard-at-dawn frame.","Same subject as SOL-05.","Reuses SOL-05 asset.","Reuses SOL-05 (see SOL-05 prompt). Optional second frame: same yard at first light, but composed wide enough to show one stacking crane silhouette in the distance against the predawn sky."
PORT-01,Portfolio,/portfolio,"Case study card 1","atlanta surgical center","Case-study cover for Atlanta Surgical Center (ASC, 4 ORs, 38% supply spend reduction).","16:9 card, ~1600×900, displays at 220h desktop / 160h mobile.",Portfolio only.,"Quiet exterior of a small-format ambulatory surgery center building in suburban Atlanta — clean modern brick-and-glass facade, mature trees, shot from the patient drop-off lane.",Documentary editorial.,"Editorial documentary photograph, 35mm color film, of a small-format ambulatory surgery center building in a leafy suburban Atlanta office park. Single-story modern facade of warm red brick and dark-bronze aluminum window frames, a clean covered drive-through patient drop-off lane in the foreground, mature southern oaks framing camera-left. Late-morning sun gives the brick a warm cast. No visible signage or logos. No people. No cars. 16:9 wide. Palette: warm brick red, deep bronze, summer green, cream sky. Slight film grain, no HDR, no glossy retouch."
PORT-02,Portfolio,/portfolio,"Case study card 2","holloway apothecary","Case-study cover for Holloway Apothecary (independent pharmacy, Macon GA, $420K new revenue/yr).","16:9 card, ~1600×900.",Portfolio only.,"Storefront of an independent neighborhood apothecary on a quiet small-Georgia-town main street — historic brick, mid-century awning, hand-painted window lettering.",Documentary editorial.,"Editorial documentary photograph, 35mm color film, of the storefront of a small independent neighborhood apothecary on a brick-paved main street in a small Georgia town. Two-story late-1800s warm-red-brick building, a faded burgundy fabric awning above large display windows, ornate cast-iron column at the corner. Hand-painted gold-and-black lettering on the storefront window suggests an apothecary but is illegible / abstract — no real brand name visible. Late-afternoon golden light falls across the brick. No people in frame. 16:9 wide. Palette: warm brick red, burgundy, cream, faded gold. Slight film grain, no HDR, no glossy retouch."
PORT-03,Portfolio,/portfolio,"Case study card 3","va medical center · dublin","Case-study cover for VA Medical Center, Dublin GA (government, 14-day first-PO-to-delivery).","16:9 card, ~1600×900.",Portfolio only.,"Loading dock of a mid-sized VA medical center receiving a delivery — clean institutional masonry, single semi-trailer backed in, dock worker silhouette.","Documentary editorial. NO actual VA seals or government logos visible. Implied government dock, not specifically identifiable.","Editorial documentary photograph, 35mm color film, of a clean institutional medical-receiving loading dock at a mid-sized regional hospital, mid-morning. A single white plain unmarked semi-trailer is backed into one of the dock bays at camera-left, dock plate down, doors open showing stacked plain kraft cases. A single anonymous warehouse worker in a navy work jacket and dark watch cap stands at the far end of the dock with a clipboard, silhouetted, no face. Surrounding architecture is clean tan-brick institutional masonry, no signage, no flags, no government seals. Wide 16:9 composition. Palette: tan brick, dock-grey concrete, kraft cardboard, ink shadow, single warm sodium dock-lamp accent. Slight film grain, no HDR, no glossy retouch, no visible logos or text."
PORT-04,Portfolio,/portfolio,"Case study card 4","medone distributors","Case-study cover for MedOne Distributors (regional distributor, +$1.2M new GMV in Q1, white-label drop-ship).","16:9 card, ~1600×900.",Portfolio only.,"Mid-shot of a regional distributor's pick-and-pack station — conveyor line, sorted cartons being labeled, anonymous gloved hands working a label printer.",Documentary editorial.,"Editorial documentary photograph, 35mm color film, of a working pick-and-pack station inside a regional medical-supply distribution center. Camera is at chest height looking diagonally across a low-profile conveyor line covered with mid-flight kraft shipping cartons of varying sizes. Two pairs of anonymous gloved hands (no faces visible) are at work — one peeling a freshly printed thermal label off a desktop label printer, the other smoothing it onto a carton. Soft overhead industrial daylight tubes give a clean cool light, with one warm task-lamp at the labeler giving an amber accent. No visible logos on any carton or device. 16:9 wide. Palette: kraft brown, cool grey, deep ink, warm amber accent. Slight film grain, no HDR, no glossy retouch."
PORT-05,Portfolio,/portfolio,"Case study card 5","cobb county ems","Case-study cover for Cobb County EMS (38 rigs on monthly restock, CoTCCC kits).","16:9 card, ~1600×900.",Portfolio only.,"Side view of a row of three parked EMS ambulances inside an apparatus bay, doors open, restock supplies staged on the bay floor.","Documentary editorial. Generic ambulance livery, not specific to a real agency.","Editorial documentary photograph, 35mm color film, of three boxy modern Type-III ambulances parked in a row inside a clean concrete-floored apparatus bay, side doors open. On the bay floor between rigs are neat staged stacks of plain kraft restock cartons and a single rolling supply cart. The ambulances are painted plain white with a single muted red horizontal stripe — no city name, no agency badge, no chevrons identifying a real department. One overhead warm tungsten bay light is on, mixing with cool ambient daylight from the open bay door at camera-left. No people. 16:9 wide. Palette: clean white, muted red stripe, cool grey concrete, warm amber pool. Slight film grain, no HDR, no glossy retouch, no visible department text or logos."
PORT-06,Portfolio,/portfolio,"Case study card 6","sunrise asc","Case-study cover for Sunrise ASC (6-OR, mid-McKesson-transition account, 48 hr first dock-to-OR).","16:9 card, ~1600×900.",Portfolio only.,"A single freshly delivered case cart parked outside an OR door — sterile blue wrap stacks, lid label visible-but-illegible, late-day light from a corridor window.",Documentary editorial.,"Editorial documentary photograph, 35mm color film, of the staging corridor of an ambulatory surgery center. A single stainless-steel case cart on casters is parked just outside a closed double OR door, lid flipped open, its top tray stacked with neatly arranged sterile-blue wrapped surgical packs of varying sizes, a small generic kraft inventory label clipped to the cart handle (illegible / abstract). Late-afternoon light from a corridor window at camera-left rakes across the stainless steel and the blue wraps. No people. 16:9 wide. Palette: pale clinical blue, brushed stainless, warm amber light, cream wall. Slight film grain, no HDR, no glossy retouch, no readable text, no logos."
ASC-01,Segment · ASC,/segments/asc,"""Shop by procedure"" — bundle card","OR tray · Total knee arthroplasty","Top-down product photo of an OR instrument tray prepared for a Total Knee Arthroplasty case (CPT 27447). 34 SKUs in the bundle.","4:3 card, ~1200×900, displays at 190h.",ASC segment only.,"Overhead flat-lay of a sterile-blue draped instrument tray with a curated set of orthopedic surgical instruments and consumables for a total-knee case.","Top-down editorial flat-lay, sterile-blue background, soft overhead light. NOT clinical-fluorescent.","Editorial top-down flat-lay photograph, medium-format film, of a stainless instrument tray draped in pale-clinical-blue sterile cloth, photographed straight overhead against a same-blue draped surrogate background. On the tray, neatly arranged in two rows: orthopedic chisels, a small mallet, bone cement spatula, a sealed sterile pouch, two foil-wrapped suture packs, a pair of large bandage scissors, a pre-shaped sterile gauze stack, a small plain kraft bundle label with an illegible alphanumeric code. No real brand logos. 4:3 composition, tightly cropped to the tray. Soft cool natural overhead daylight from a north window. Palette: pale clinical blue, brushed stainless, cream label. Slight film grain, no HDR, no glossy retouch."
ASC-02,Segment · ASC,/segments/asc,"""Shop by procedure"" — bundle card","OR tray · Cataract extraction + IOL","Top-down OR tray for cataract extraction with intraocular lens (CPT 66984). 18 SKUs.","4:3 card, ~1200×900.",ASC segment only.,"Overhead flat-lay of a small ophthalmic instrument tray.","Top-down editorial flat-lay, sterile-blue base.","Editorial top-down flat-lay photograph, medium-format film, of a small stainless ophthalmic instrument tray on pale-clinical-blue sterile cloth, photographed straight overhead. Arranged on the tray: a pair of fine micro-forceps, a curved capsulorhexis forceps, a small lid speculum, a single foil-wrapped IOL injector pouch, two glass eye-drop bottles with abstract no-brand labels, a small folded sterile drape, and a small kraft bundle label. No real brand logos. 4:3 composition, tightly cropped. Soft cool overhead north-window daylight. Palette: pale clinical blue, brushed stainless, cream. Slight film grain, no HDR, no glossy retouch."
ASC-03,Segment · ASC,/segments/asc,"""Shop by procedure"" — bundle card","OR tray · Colonoscopy with biopsy","Top-down GI tray for colonoscopy + biopsy (CPT 45380). 22 SKUs.","4:3 card, ~1200×900.",ASC segment only.,"Overhead flat-lay of a colonoscopy procedure tray.","Top-down editorial flat-lay, sterile-blue base.","Editorial top-down flat-lay photograph, medium-format film, of a sterile-blue draped GI procedure tray photographed straight overhead. Arranged on the tray: a coiled sterile-packed biopsy forceps, three labeled specimen vials with abstract no-brand labels, two foil packs of sterile lubricant, a sealed pouch of large bite blocks, neatly stacked sterile gauze, a small kraft bundle label. No real brand logos. 4:3 composition. Soft cool north-window overhead daylight. Palette: pale clinical blue, brushed stainless, cream. Slight film grain, no HDR, no glossy retouch."
ASC-04,Segment · ASC,/segments/asc,"""Shop by procedure"" — bundle card","OR tray · Shoulder arthroscopy","Top-down OR tray for shoulder arthroscopy (CPT 29827). 28 SKUs.","4:3 card, ~1200×900.",ASC segment only.,"Overhead flat-lay of an arthroscopic shoulder tray.","Top-down editorial flat-lay, sterile-blue base.","Editorial top-down flat-lay photograph, medium-format film, of a sterile-blue draped arthroscopy tray photographed straight overhead. Arranged on the tray: a coiled sterile arthroscopic shaver tubing pack, a small set of suture anchors in foil pouches, two pre-cut sterile drape packs, a curved trocar in its sleeve, two foil-wrapped suture packs, a small generic kraft bundle label. No real brand logos. 4:3 composition. Soft cool north-window overhead daylight. Palette: pale clinical blue, brushed stainless, cream. Slight film grain, no HDR, no glossy retouch."
ASC-05,Segment · ASC,/segments/asc,"""Shop by procedure"" — bundle card","OR tray · Carpal tunnel release","Top-down OR tray for carpal tunnel release (CPT 64721). 14 SKUs — a smaller, simpler tray.","4:3 card, ~1200×900.",ASC segment only.,"Overhead flat-lay of a small hand-surgery tray.","Top-down editorial flat-lay, sterile-blue base.","Editorial top-down flat-lay photograph, medium-format film, of a small stainless hand-surgery tray on pale-clinical-blue sterile cloth, straight overhead. Arranged on the tray: a #15 scalpel in a sealed foil pack, a small skin retractor, fine-tip needle holders, a small suture pack, a folded hand drape, a single kraft bundle label. Sparser than the other ASC trays — leave deliberate negative space. No real brand logos. 4:3 composition. Soft cool overhead daylight. Palette: pale clinical blue, brushed stainless, cream. Slight film grain, no HDR, no glossy retouch."
ASC-06,Segment · ASC,/segments/asc,"""Shop by procedure"" — bundle card","OR tray · Cardiac catheterization","Top-down cath-lab tray for cardiac catheterization (CPT 93458). 41 SKUs — densest tray.","4:3 card, ~1200×900.",ASC segment only.,"Overhead flat-lay of a dense cardiac-cath supply tray.","Top-down editorial flat-lay, sterile-blue base, denser than the others.","Editorial top-down flat-lay photograph, medium-format film, of a wide stainless cardiac-cath supply tray on pale-clinical-blue sterile cloth, straight overhead. Densely but neatly arranged: coiled diagnostic catheter packs (sealed clear pouches), a coiled sheath introducer pack, two manifold tubing kits, three contrast-syringe packs, two coiled guidewire pouches, a small stack of sterile drapes, a kraft bundle label. The composition feels precise and full but not crowded. No real brand logos. 4:3 composition. Soft cool overhead daylight. Palette: pale clinical blue, brushed stainless, cream. Slight film grain, no HDR, no glossy retouch."
EMS-01,Segment · EMS,/segments/ems,"Bundle card 1","march algorithm trauma kit","Single CoTCCC-aligned MARCH-algorithm IFAK trauma kit, photographed product-style.","3:2 card, ~1200×800, displays at 200h desktop / 140h mobile (left side of split card).",EMS segment only.,"Black nylon IFAK pouch open and laid flat, contents arranged in MARCH order: tourniquet, hemostatic gauze, occlusive seal, NPA, gloves, gauze.",Editorial product photo on warm cream paper background.,"Editorial product photograph, medium-format film, of a single black ballistic-nylon IFAK trauma pouch laid open on a warm cream paper background, photographed slightly above eye level. Contents arranged in a single neat horizontal row in MARCH algorithm order from left to right: a CAT-style black-handled tourniquet, a sealed pouch of hemostatic gauze, an occlusive chest-seal foil pouch, a clear nasopharyngeal-airway pouch, a pair of folded black nitrile gloves, a roll of compressed gauze. No brand logos visible. Soft natural side light from camera-left. 3:2 composition with the kit centered. Palette: ink black, kraft cream paper, dark olive nylon webbing. Slight film grain, no HDR, no glossy retouch."
EMS-02,Segment · EMS,/segments/ems,"Bundle card 2","mass casualty rapid response","Large rolling MCI rapid-response case for 10-patient treatment, photographed in-environment.","3:2 card, ~1200×800.",EMS segment only.,"Hard-shell rolling Pelican-style mass-casualty case open on the apparatus-bay floor, foam interior visible with sectioned compartments.","Editorial product photo, in apparatus-bay environment.","Editorial product photograph, medium-format film, of a large hard-shell rolling Pelican-style mass-casualty response case opened flat on the polished concrete floor of a clean fire-station apparatus bay. The interior pluck-foam is sectioned into clearly defined compartments holding bundled triage tags in colored bands (green, yellow, red, black), a row of black tourniquets, sealed packs of trauma dressings, oropharyngeal airway kits, and a small radio. Lid label is plain — no agency identifier. Warm bay-light from camera-right rakes across the foam. No people. No visible logos. 3:2 composition. Palette: ink black, dark olive, kraft cream, warm amber accent, small triage-color flecks. Slight film grain, no HDR, no glossy retouch."
EMS-03,Segment · EMS,/segments/ems,"Bundle card 3","ems truck restock bundle","Monthly per-rig EMS restock bundle, presented as staged kraft cartons + checklist.","3:2 card, ~1200×800.",EMS segment only.,"Three plain kraft cartons of restock supplies stacked beside a clipboard checklist on a fire-station bay floor next to the rear bumper of an ambulance.","Editorial documentary, warm and orderly.","Editorial documentary photograph, 35mm color film, of three plain kraft cardboard restock cartons stacked two-high-and-one beside a metal clipboard with a printed checklist, on the polished concrete floor of a fire-station apparatus bay. Just visible at camera-right: the rear bumper and lower body of a parked ambulance with plain white paint and a muted red stripe (no department name). One warm tungsten bay light from above-right gives the cartons a warm amber rim. No brand logos. No visible legible text on the checklist (abstract typography is fine). 3:2 composition. Palette: kraft brown, cool grey concrete, white paint, muted red, warm amber. Slight film grain, no HDR, no glossy retouch."
EMS-04,Segment · EMS,/segments/ems,"Bundle card 4","fire dept · ems ready pack","NFPA 1917-aligned fire-department EMS ready pack — large red-trimmed bag, opened to reveal contents.","3:2 card, ~1200×800.",EMS segment only.,"Large red-and-black EMS jump bag opened on a fire-station bay tabletop, contents visible.",Editorial product photo.,"Editorial product photograph, medium-format film, of a large red-and-black EMS jump bag opened flat on a warm-stained-wood fire-station table top. Contents visible inside the open compartments: stethoscope, BP cuff, sealed packs of trauma dressings, oropharyngeal airway set, splint roll, two black nitrile glove boxes. Bag exterior is plain red with reflective black accents — no department patches, no chevrons, no real brand logos. Warm overhead bay light from camera-right. 3:2 composition, bag centered. Palette: fire red, ink black, kraft cream, warm amber. Slight film grain, no HDR, no glossy retouch, no visible text or logos."
